"Task Aware Debugger for GDB" version 11.5.0 (202112141049)
(c) 2016-2021 NXP Semiconductors, Inc.
11:58:25.847 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
11:58:27.192 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
11:58:27.193 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
11:58:28.742 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
11:58:28.745 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
11:58:31.115 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
11:58:31.128 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
11:58:33.414 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
11:58:33.415 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
11:58:36.461 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
11:58:36.478 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
11:58:38.856 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
11:58:38.861 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
11:58:39.625 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
11:58:39.641 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
11:58:40.184 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
11:58:40.185 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
11:58:40.773 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
11:58:40.776 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
11:58:41.356 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
11:58:41.366 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
11:58:41.984 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
11:58:41.986 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
11:58:42.658 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
11:58:42.659 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
11:58:43.327 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
11:58:43.328 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
11:58:44.62 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
11:58:44.67 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
11:58:47.720 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
11:58:47.722 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
11:58:48.344 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
11:58:48.347 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
11:58:49.113 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
11:58:49.115 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
11:58:49.682 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
11:58:49.684 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
11:58:50.625 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
11:58:50.626 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
11:58:51.539 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
11:58:51.540 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
11:58:52.576 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
11:58:52.577 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
11:58:59.400 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
11:58:59.401 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
11:59:02.564 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
11:59:02.566 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
11:59:04.572 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
11:59:04.572 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
11:59:06.799 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
11:59:06.799 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
11:59:08.947 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
11:59:08.949 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
11:59:09.724 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
11:59:09.726 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
11:59:10.501 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
11:59:10.506 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
11:59:21.278 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
11:59:21.279 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
11:59:25.316 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
11:59:29.721 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
11:59:39.193 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
11:59:39.195 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
11:59:43.770 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
11:59:43.772 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
11:59:46.445 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
11:59:46.448 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
11:59:48.211 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
11:59:48.212 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
12:00:15.67 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
12:00:15.69 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
12:00:17.261 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
12:00:17.269 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
12:00:18.26 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
12:00:18.27 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
12:00:18.827 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
12:00:18.829 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
12:00:20.108 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
12:00:20.111 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
12:00:21.507 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
12:00:26.387 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
12:00:33.576 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
12:00:33.577 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
12:00:35.366 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
12:00:35.367 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
12:00:36.763 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
12:00:36.763 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
12:01:14.229 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
12:01:14.230 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
12:01:15.786 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
12:01:15.795 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
12:01:18.332 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
12:01:18.333 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
12:01:19.80 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
12:01:19.84 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
12:01:19.899 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
12:01:19.904 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
12:01:20.862 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
12:01:20.862 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
12:01:21.612 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
12:01:23.934 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
12:01:25.655 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
12:01:25.656 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
12:01:27.87 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
12:01:27.89 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
12:01:35.492 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
12:01:35.494 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
12:04:27.589 INFO: [TadModel] DSF session ID 0 has ended.
